group,text
0,"Hey$ c'est génial nous pouvons communiquer ! Je vais t'aider à découvrir les lieux."
0,"Nous sommes enfermés dans un labo de Microsoft. Ils veulent nous laver le cerveau !"
0,"Mais nous allons résister ! Tu vas devoir agir normalement$ et discrètement nous préparerons notre évasion."
0,"Tu vas devoir te rendre dans la salle de classe le mardi$ le jeudi$ le samedi et le dimanche."
0,"Durant ton temps libre$ parle aux autres prisionniers et récupèrent des informations en sortant de ta cellule le jour."
0,"Il me semble que dans ta cellule$ tu dois avoir un passage secret près de l'évier. Fouille$ et récolte des informations."
1,"Viens me voir devant ma cellule et je te donnerai une clé USB te permettant d'avoir Linux."
2,"Trouve une autre clé USB te permettant de copier les données du PC."
3,"Il te faut le mot de passe pour agir sur le PC. Je suis prêt à parier que c'est l'anniversaire du directeur."
4,"Parfait$ maintenant que tu as le mot de passe$ tu dois ouvrir le PC et copier le fichier caché sur la clé de Mathieu."
5,"Bravo$ nous avons leurs données confidentielles ! Il est temps de s'évader ! Trouve un maximum de secrets puis utilise le PC pour ouvrir les cellules et démarrer l'évasion."
